bahia cocoa review,showers continued throughout week bahia cocoa zone alleviating drought since early january improving prospects coming temporao although normal humidity levels restored comissaria smith said weekly review dry period means temporao late year arrivals week ended february bags kilos making cumulative total season mln stage last year seems cocoa delivered earlier consignment included arrivals figures comissaria smith said still doubt much old crop cocoa still available harvesting practically come end total bahia crop estimates around mln bags sales standing almost mln hundred thousand bags still hands farmers middlemen exporters processors doubts much cocoa would fit export shippers experiencing dificulties obtaining certificates view lower quality recent weeks farmers sold good part cocoa held consignment comissaria smith said spot bean prices rose cruzados per arroba kilos bean shippers reluctant offer nearby shipment limited sales booked march shipment dlrs per tonne ports named new crop sales also light open ports june july going dlrs dlrs new york july aug sept dlrs per tonne fob routine sales butter made march april sold dlrs april may butter went times new york may june july dlrs aug sept dlrs times new york sept oct dec dlrs times new york dec comissaria smith said destinations u covertible currency areas uruguay open ports cake sales registered dlrs march april dlrs may dlrs aug times new york dec oct dec buyers u argentina uruguay convertible currency areas liquor sales limited march april selling dlrs june july dlrs times new york july aug sept dlrs times new york sept oct dec times new york dec comissaria smith said total bahia sales currently estimated mln bags crop mln bags crop final figures period february expected published brazilian cocoa trade commission carnival ends midday february
standard oil form financial unit,standard oil co bp north america inc said plan form venture manage money market borrowing investment activities companies bp north america subsidiary british petroleum co plc bp also owns pct interest standard oil venture called bp standard financial trading operated standard oil oversight joint management committee
texas commerce bancshares files plan,texas commerce bancshares texas commerce said filed application comptroller currency effort create largest banking network harris county bank said network would link banks billion dlrs assets billion dlrs deposits
talking equity offer,bankamerica corp pressure act quickly proposed equity offering would well delay recent poor performance banking analysts said analysts said recommended bankamerica delay equity offering yet approved securities exchange commission bankamerica stock fell week along banking issues news brazil suspended interest payments large portion foreign debt stock traded around afternoon falling earlier week news banking analysts said immediate threat first interstate bancorp takeover bid gone bankamerica pressure sell securities market nervous bank stocks near term bankamerica filed offer january seen one major factors leading first interstate withdrawing takeover bid february bankamerica spokesman said sec approval taking longer expected market conditions must circumstances time determine said arthur miller vice president financial communications asked bankamerica would proceed offer immediately receives sec approval put long conceivably could said lawrence cohn analyst merrill lynch pierce fenner smith cohn said longer bankamerica waits longer show market improved financial outlook although bankamerica yet specify types equities would offer analysts believed convertible preferred stock would encompass least part offering depressed stock price would mean lower conversion price dilution bankamerica stock holders noted daniel williams analyst sutro group several analysts said believe brazilian debt problem continue hang banking industry quarter initial shock reaction likely ease coming weeks nevertheless bankamerica holds billion dlrs brazilian loans stands lose mln dlrs interest rate reduced debt much mln dlrs brazil pays interest year said joseph arsenio analyst birr wilson co noted however potential losses would show current quarter major banks standing lose even bankamerica brazil fails service debt analysts said expect debt restructured similar way debt minimizing losses creditor banks
national average prices reserve,u agriculture department reported reserve national average price february follows dlrs cwt natl loan release call avge level price price wheat iv v vi corn iv v x rates natl loan release call avge level price price oats v barley n iv v sorghum iv v reserves ii iii matured level iv reflects grain entered oct feedgrain july wheat level v wheat barley corn sorghum level vi covers wheat entered january rates per cwt lbs n available
argentine registrations,argentine grain board figures show crop registrations grains oilseeds products february thousands tonnes showing future shipments month total total february bread wheat prev feb march total maize mar total nil sorghum nil nil oilseed export registrations sunflowerseed total soybean may total nil board also detailed export registrations subproducts follows subproducts wheat prev feb march apr total linseed prev feb mar apr total soybean prev feb mar nil apr nil may total sunflowerseed prev feb mar apr total vegetable oil registrations sunoil prev feb mar apr may nil jun total linoil prev feb mar apr total soybean oil prev feb mar nil apr may jun jul total
red lion inns files plans offering,red lion inns limited partnership said filed registration statement securities exchange commission covering proposed offering units limited partnership interests company said expects offering priced dlrs per unit said proceeds offering along mln dlr mortgage loan used finance planned acquisition red lion hotels
usx debt dowgraded,investors service inc said lowered debt preferred stock ratings usx corp units seven billion dlrs securities affected said marathon oil recent establishment one billion dlrs production payment facilities prolific yates field significant negative implications unsecured creditors company appears positioned steel segment return profit late added ratings lowered include senior debt
champion products approves stock split,champion products inc said board directors approved stock split common shares shareholders record april company also said board voted recommend shareholders annual meeting april increase authorized capital stock five mln mln shares
computer terminal systems completes sale,computer terminal systems inc said completed sale shares common stock warrants acquire additional one mln shares sedio n v lugano switzerland dlrs company said warrants exercisable five years purchase price dlrs per share computer terminal said sedio also right buy additional shares increase total holdings pct computer outstanding common stock certain circumstances involving change control company company said conditions occur warrants would exercisable price equal pct common market price time exceed dlrs per share computer terminal also said sold technolgy rights dot matrix impact technology including future improvements woodco inc houston tex dlrs said would continue exclusive worldwide licensee technology woodco company said moves part reorganization plan would help pay current operation costs ensure product delivery computer terminal makes computer generated labels forms tags ticket printers terminals
cobanco inc year net,shr cts vs dlrs net vs assets mln vs mln deposits mln vs mln loans mln vs mln qtr available year includes extraordinary gain tax carry forward dlrs five cts per shr
ohio mattress may lower qtr net,ohio mattress co said first quarter ending february profits may mln dlrs cts share earned first quarter fiscal company said decline would due expenses related acquisitions middle current quarter seven licensees sealy inc well pct outstanding capital stock sealy acquisitions said first quarter sales substantially higher last mln dlrs noting typically reports first quarter results late march said report likely issued early april year said delay due administrative considerations including conducting appraisals connection acquisitions
